numero,code,nom,email,ville,store_link,commission_rate,total_earnings,status,niveau
#001,AFF-001-09ZZ,Alexandre Moreau,alexandre.moreau293@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-001-09ZZ,20.0,48.0,active,Débutant
#002,AFF-002-8627,Antoine Moreau,antoine.moreau100@gmail.com,Metz,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-002-8627,20.0,32.0,active,Débutant
#003,AFF-003-L7FG,Sarah Bernard,sarah.bernard92@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-003-L7FG,20.0,40.0,active,Débutant
#004,AFF-004-BEXY,Tom André,tom.andré448@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-004-BEXY,20.0,80.0,active,Débutant
#005,AFF-005-FF02,Pierre Garcia,pierre.garcia963@gmail.com,Besançon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-005-FF02,20.0,96.0,active,Débutant
#006,AFF-006-2CO8,Léa Dupont,léa.dupont20@gmail.com,Lyon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-006-2CO8,20.0,40.0,active,Débutant
#007,AFF-007-WPLE,Anna Vincent,anna.vincent438@gmail.com,Clermont-Ferrand,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-007-WPLE,20.0,32.0,active,Débutant
#008,AFF-008-T7JE,Alexandre Laurent,alexandre.laurent495@gmail.com,Metz,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-008-T7JE,20.0,24.0,active,Débutant
#009,AFF-009-9S7P,Victor Bernard,victor.bernard943@gmail.com,Lyon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-009-9S7P,20.0,8.0,active,Débutant
#010,AFF-010-XPSX,Louise Martin,louise.martin24@gmail.com,Nice,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-010-XPSX,20.0,104.0,active,Intermédiaire
#011,AFF-011-HWXU,Louis David,louis.david461@gmail.com,Perpignan,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-011-HWXU,20.0,48.0,active,Débutant
